sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
"outra face deste processo foi a disseminação dos atendimentos automatizados que , além do custo da tarifa , impõem grande perda de tempo e constrangimento aos usuários .","['outra', 'face', 'deste', 'processo', 'foi', 'a', 'disseminação', 'dos', 'atendimentos', 'automatizados', 'que', ',', 'além', 'do', 'custo', 'da', 'tarifa', ',', 'impõem', 'grande', 'perda', 'de', 'tempo', 'e', 'constrangimento', 'aos', 'usuários', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,face processo disseminação atendimento automatizar custo tarifa impor perda constrangimento usuário,fac process dissemin atend autom cust tarif impõ perd constrang usu,10
"sala das sessões , em 16 de março de 2011 .","['sala', 'das', 'sessões', ',', 'em', '16', 'de', 'março', 'de', '2011', '.']","['O', 'O', 'O', 'O', 'O', 'B-DATA', 'I-DATA', 'I-DATA', 'I-DATA', 'I-DATA', 'O']",0,1,0,0,0,0,0,sala sessão 16 março 2011,sal sess 16 març 2011,11
"o crime já está tipificado no código brasileiro de trânsito , entretanto sua divulgação não consta da lei nº 9.294 / 96 .","['o', 'crime', 'já', 'está', 'tipificado', 'no', 'código', 'brasileiro', 'de', 'trânsito', ',', 'entretanto', 'sua', 'divulgação', 'não', 'consta', 'da', 'lei', 'nº', '9.294', '/', '96', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O']",2,0,0,0,0,0,0,crime tipificado código brasileiro trânsito entretanto divulgação constar lei nº 9.294 96,crim tipific códig brasil trânsit entretant divulg const lei nº 9.294 96,12
art . 3º esta lei entra em vigor na data de sua publicação .,"['art', '.', '3º', 'esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 3º lei entrar vigor data publicação,art 3º lei entr vig dat public,13
"ademais , elencamos as políticas a serem executadas pelo poder público nas áreas especiais de interesse turístico , com vistas ao cumprimento de incentivo à atividade turística .","['ademais', ',', 'elencamos', 'as', 'políticas', 'a', 'serem', 'executadas', 'pelo', 'poder', 'público', 'nas', 'áreas', 'especiais', 'de', 'interesse', 'turístico', ',', 'com', 'vistas', 'ao', 'cumprimento', 'de', 'incentivo', 'à', 'atividade', 'turística', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,1,0,1,0,0,elencar política ser executar público área especial interesse turístico vista cumprimento incentivo atividade turístico,elenc polít ser execut públic áre espec inter turís vist cumpr incen ativ turís,14
"apesar das dificuldades apontadas , conto com o discernimento dos nobres pares para , em conjunto , alcançarmos uma solução para essas graves questões .","['apesar', 'das', 'dificuldades', 'apontadas', ',', 'conto', 'com', 'o', 'discernimento', 'dos', 'nobres', 'pares', 'para', ',', 'em', 'conjunto', ',', 'alcançarmos', 'uma', 'solução', 'para', 'essas', 'graves', 'questões', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,apesar dificuldade apontar conto discernimento nobre par conjunto alcançar solução grave questão,apes dificuldad apont cont discern nobr par conjunt alcanç soluç grav quest,15
"por um lado , há o programa escola aberta do governo federal .","['por', 'um', 'lado', ',', 'há', 'o', 'programa', 'escola', 'aberta', 'do', 'governo', 'federal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O']",0,0,1,0,1,0,0,haver programa escola abrir governo federal,há program escol abert govern feder,16
esta lei entra em vigor na data de sua publicação .,"['esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,lei entrar vigor data publicação,lei entr vig dat public,17
"projeto de lei nº , de 2019 .","['projeto', 'de', 'lei', 'nº', ',', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,projeto lei nº 2019,projet lei nº 2019,18
"afigura-se , portanto , desnecessária inscrição em ordem ou conselho para o exercício da profissão de músico . ”","['afigura-se', ',', 'portanto', ',', 'desnecessária', 'inscrição', 'em', 'ordem', 'ou', 'conselho', 'para', 'o', 'exercício', 'da', 'profissão', 'de', 'músico', '.', '”']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PESSOA', 'O', 'O']",0,0,0,1,0,0,0,afigurar se desnecessário inscrição ordem exercício profissão músico,afigura-s desnecessár inscr ord exercíci profiss músic,19
esta resolução entra em vigor na data de sua publicação .,"['esta', 'resolução', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,resolução entrar vigor data publicação,resoluç entr vig dat public,20
"art . 2º revoga-se a lei nº 13.586 , de 28 de dezembro de 2017 .","['art', '.', '2º', 'revoga-se', 'a', 'lei', 'nº', '13.586', ',', 'de', '28', 'de', 'dezembro', 'de', '2017', '.']","['O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O']",1,0,0,0,0,0,0,art 2º revoga se lei nº 13.586 28 dezembro 2017,art 2º revoga-s lei nº 13.586 28 dezembr 2017,21
"esse é , pois , o objetivo principal desta proposição , que vem juntar-se a outras iniciativas meritórias de nossos pares nesta casa na busca de uma solução para esse grave problema que aflige nossa sociedade .","['esse', 'é', ',', 'pois', ',', 'o', 'objetivo', 'principal', 'desta', 'proposição', ',', 'que', 'vem', 'juntar-se', 'a', 'outras', 'iniciativas', 'meritórias', 'de', 'nossos', 'pares', 'nesta', 'casa', 'na', 'busca', 'de', 'uma', 'solução', 'para', 'esse', 'grave', 'problema', 'que', 'aflige', 'nossa', 'sociedade', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,objetivo principal proposição juntar se iniciativa meritório par casa busca solução grave problema afligir sociedade,obje princip propos juntar-s inici meritór par cas busc soluç grav problem aflig sociedad,22
"o problema é que , uma vez verificado que determinado município enquadrado nesta categoria de pequeno ultrapassou qualquer uma p l p n .1 9 0 / 2 0 1 9 a p re s e n ta ç ã o : 1 4 / 0 8 / 2 0 1 9 1 4 : 5 5 2 das regras previstas , as sanções aplicadas são as mesmas dos demais entes , que incluem sobretudo a inclusão do município como inadimplente no cadastro único de convênios e a suspensão imediata das transferências voluntárias da união .","['o', 'problema', 'é', 'que', ',', 'uma', 'vez', 'verificado', 'que', 'determinado', 'município', 'enquadrado', 'nesta', 'categoria', 'de', 'pequeno', 'ultrapassou', 'qualquer', 'uma', 'p', 'l', 'p', 'n', '.1', '9', '0', '/', '2', '0', '1', '9', 'a', 'p', 're', 's', 'e', 'n', 'ta', 'ç', 'ã', 'o', ':', '1', '4', '/', '0', '8', '/', '2', '0', '1', '9', '1', '4', ':', '5', '5', '2', 'das', 'regras', 'previstas', ',', 'as', 'sanções', 'aplicadas', 'são', 'as', 'mesmas', 'dos', 'demais', 'entes', ',', 'que', 'incluem', 'sobretudo', 'a', 'inclusão', 'do', 'município', 'como', 'inadimplente', 'no', 'cadastro', 'único', 'de', 'convênios', 'e', 'a', 'suspensão', 'imediata', 'das', 'transferências', 'voluntárias', 'da', 'união', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,problema verificar determinar município enquadrar categoria pequeno ultrapassar p l p n .1 9 0 2 0 1 9 p re s n ta ç ã 1 4 0 8 2 0 1 9 1 4 5 5 2 regra prever sanção aplicar mesmo ente incluir sobretudo inclusão município inadimplente cadastro único convênio suspensão imediato transferência voluntário união,problem verific determin municípi enquadr categor pequen ultrapass p l p n .1 9 0 2 0 1 9 p re s n ta ç ã 1 4 0 8 2 0 1 9 1 4 5 5 2 regr prev sanç aplic mesm ent inclu sobretud inclus municípi inadimpl cadastr únic convêni suspens imediat transfer voluntár uni,23
"o número de assassinatos tem chegado a 4,8 para cada 100 mil mulheres .","['o', 'número', 'de', 'assassinatos', 'tem', 'chegado', 'a', '4,8', 'para', 'cada', '100', 'mil', 'mulheres', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,"assassinato chegar 4,8 100 mulher","assassinat cheg 4,8 100 mulh",24
"o estatuto da juventude votado em outubro de 2011 na câmara dos deputados ( pl 4529 / 04 , pendente ainda da aprovação do senado ) , definiu como jovens as pessoas com idade entre quinze e vinte e nove anos , conforme artigo 1º , § 1º e incisos de i a iii .","['o', 'estatuto', 'da', 'juventude', 'votado', 'em', 'outubro', 'de', '2011', 'na', 'câmara', 'dos', 'deputados', '(', 'pl', '4529', '/', '04', ',', 'pendente', 'ainda', 'da', 'aprovação', 'do', 'senado', ')', ',', 'definiu', 'como', 'jovens', 'as', 'pessoas', 'com', 'idade', 'entre', 'quinze', 'e', 'vinte', 'e', 'nove', 'anos', ',', 'conforme', 'artigo', '1º', ',', '§', '1º', 'e', 'incisos', 'de', 'i', 'a', 'iii', '.']","['O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'B-DATA', 'I-DATA', 'I-DATA', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",2,1,2,0,0,0,0,estatuto juventude votar outubro 2011 câmara deputado pl 4529 04 pendente aprovação senado definir jovem pessoa idade ano conforme artigo 1º 1º inciso i iii,estatut juventud vot outubr 2011 câm deput pl 4529 04 pend aprov sen defin jov pesso idad ano conform artig 1º 1º incis i iii,25
"§ 2º o número telefônico mencionado no caput deste artigo deverá ser único para todo o país , composto de apenas três dígitos e de acesso gratuito aos usuários","['§', '2º', 'o', 'número', 'telefônico', 'mencionado', 'no', 'caput', 'deste', 'artigo', 'deverá', 'ser', 'único', 'para', 'todo', 'o', 'país', ',', 'composto', 'de', 'apenas', 'três', 'dígitos', 'e', 'de', 'acesso', 'gratuito', 'aos', 'usuários']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,2º telefônico mencionar caput artigo único país compor dígito acesso gratuito usuário,2º telefôn mencion caput artig únic país compost dígit acess gratuit usu,26
"§ 3º do número de vagas resultantes das regras previstas neste artigo , cada partido ou coligação preencherá o mínimo de 30% ( trinta por cento ) com candidaturas de mulheres e 10% ( dez por cento ) com candidaturas de jovens até 29 anos , considerando-se atendidos os dois requisitos quando coincidirem na mesma pessoa . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['§', '3º', 'do', 'número', 'de', 'vagas', 'resultantes', 'das', 'regras', 'previstas', 'neste', 'artigo', ',', 'cada', 'partido', 'ou', 'coligação', 'preencherá', 'o', 'mínimo', 'de', '30%', '(', 'trinta', 'por', 'cento', ')', 'com', 'candidaturas', 'de', 'mulheres', 'e', '10%', '(', 'dez', 'por', 'cento', ')', 'com', 'candidaturas', 'de', 'jovens', 'até', '29', 'anos', ',', 'considerando-se', 'atendidos', 'os', 'dois', 'requisitos', 'quando', 'coincidirem', 'na', 'mesma', 'pessoa', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,3º vaga resultante regra prever artigo partido coligação preencher mínimo 30 trinta candidatura mulher 10 candidatura jovem 29 ano considerar se atender requisito coincidir mesmo pessoa,3º vag result regr prev artig part colig preench mín 30 trint candidat mulh 10 candidat jov 29 ano considerando-s atend requisit coincid mesm pesso,27
esta lei entra em vigor cento e oitenta dias após sua publicação oficial .,"['esta', 'lei', 'entra', 'em', 'vigor', 'cento', 'e', 'oitenta', 'dias', 'após', 'sua', 'publicação', 'oficial', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,lei entrar vigor oitenta dia publicação oficial,lei entr vig oitent dia public ofic,28
art . 4º a concessão da subvenção a que se refere esta lei exonera o governo federal da obrigação de adquirir o produto .,"['art', '.', '4º', 'a', 'concessão', 'da', 'subvenção', 'a', 'que', 'se', 'refere', 'esta', 'lei', 'exonera', 'o', 'governo', 'federal', 'da', 'obrigação', 'de', 'adquirir', 'o', 'produto', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,1,0,0,0,0,art 4º concessão subvenção referir lei exonerar governo federal obrigação adquirir produto,art 4º concess subvenç ref lei exon govern feder obrig adquir produt,29
"diante dessa realidade , o mandamento convencional e legal de integração sociocultural e laboral do refugiado admitido no brasil resta , pois , esvaziado de eficácia , havendo a necessidade de complementação da legislação existente .","['diante', 'dessa', 'realidade', ',', 'o', 'mandamento', 'convencional', 'e', 'legal', 'de', 'integração', 'sociocultural', 'e', 'laboral', 'do', 'refugiado', 'admitido', 'no', 'brasil', 'resta', ',', 'pois', ',', 'esvaziado', 'de', 'eficácia', ',', 'havendo', 'a', 'necessidade', 'de', 'complementação', 'da', 'legislação', 'existente', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,1,0,realidade mandamento convencional legal integração sociocultural laboral refugiado admitir Brasil restar esvaziar eficácia haver necessidade complementação legislação existente,real mand convenc legal integr sociocult labor refugi admit brasil rest esvazi eficác hav necess complement legisl exist,30
esses mecanismos devem estar relacionados exatamente à execução da pena .,"['esses', 'mecanismos', 'devem', 'estar', 'relacionados', 'exatamente', 'à', 'execução', 'da', 'pena', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,mecanismo relacionado exatamente execução pena,mecan relacion exat execuç pen,31
